id,name,entity_type,area,sector,latitude,longitude,ownership_or_status,priority,recommended_ambulance_count,nearest_or_reference_hospital,coverage_areas,deployment_rationale,data_note,source_url
H011,Madras Medical Mission,Hospital,Mogappair,West-North,13.0857,80.1867,Private,High,,,,Hospital marker; coordinates are approximate planning coordinates.,Approximate locality/hospital-vicinity coordinates for project mapping; verify before production use.,https://chennai.nic.in/public-utility-category/hospitals/
H012,Sundaram Medical Foundation,Hospital,Anna Nagar,West-Central,13.0850,80.2101,Private,Medium,,,,Hospital marker; coordinates are approximate planning coordinates.,Approximate locality/hospital-vicinity coordinates for project mapping; verify before production use.,https://chennai.nic.in/public-utility-category/hospitals/
H013,SIMS Hospital,Hospital,Vadapalani,West-Central,13.0522,80.2110,Private,High,,,,Hospital marker; coordinates are approximate planning coordinates.,Approximate locality/hospital-vicinity coordinates for project mapping; verify before production use.,https://chennai.nic.in/public-utility-category/hospitals/
H014,Vijaya Hospital,Hospital,Vadapalani,West-Central,13.0506,80.2120,Private,High,,,,Hospital marker; coordinates are approximate planning coordinates.,Approximate locality/hospital-vicinity coordinates for project mapping; verify before production use.,https://chennai.nic.in/public-utility-category/hospitals/
H015,Kauvery Hospital,Hospital,Vadapalani,West-Central,13.0527,80.2124,Private,High,,,,Hospital marker; coordinates are approximate planning coordinates.,Approximate locality/hospital-vicinity coordinates for project mapping; verify before production use.,https://chennai.nic.in/public-utility-category/hospitals/
H016,Apollo Speciality Hospital OMR,Hospital,Perungudi,South-OMR,12.9597,80.2461,Private,High,,,,Hospital marker; coordinates are approximate planning coordinates.,Approximate locality/hospital-vicinity coordinates for project mapping; verify before production use.,https://chennai.nic.in/public-utility-category/hospitals/
H017,Gleneagles HealthCity Chennai,Hospital,Perumbakkam,South,12.9054,80.2286,Private,High,,,,Hospital marker; coordinates are approximate planning coordinates.,Approximate locality/hospital-vicinity coordinates for project mapping; verify before production use.,https://chennai.nic.in/public-utility-category/hospitals/
H018,Chettinad Hospital and Research Institute,Hospital,Kelambakkam,South-OMR,12.7970,80.2205,Private/Teaching,High,,,,Hospital marker; coordinates are approximate planning coordinates.,Approximate locality/hospital-vicinity coordinates for project mapping; verify before production use.,https://chennai.nic.in/public-utility-category/hospitals/
H019,Dr. Kamakshi Memorial Hospital,Hospital,Pallikaranai,South,12.9498,80.2104,Private,High,,,,Hospital marker; coordinates are approximate planning coordinates.,Approximate locality/hospital-vicinity coordinates for project mapping; verify before production use.,https://chennai.nic.in/public-utility-category/hospitals/
H020,Prashanth Super Speciality Hospital,Hospital,Velachery,South-Central,12.9799,80.2207,Private,High,,,,Hospital marker; coordinates are approximate planning coordinates.,Approximate locality/hospital-vicinity coordinates for project mapping; verify before production use.,https://chennai.nic.in/public-utility-category/hospitals/
H021,Hindu Mission Hospital,Hospital,Tambaram,South-West,12.9246,80.1132,Private,High,,,,Hospital marker; coordinates are approximate planning coordinates.,Approximate locality/hospital-vicinity coordinates for project mapping; verify before production use.,https://chennai.nic.in/public-utility-category/hospitals/
H022,Government Hospital Tambaram,Hospital,Tambaram,South-West,12.9241,80.1275,Government,Medium,,,,Hospital marker; coordinates are approximate planning coordinates.,Approximate locality/hospital-vicinity coordinates for project mapping; verify before production use.,https://chennaicorporation.gov.in/gcc/covid-vaccine/govt-hospital/
H023,ESIC Medical College and Hospital,Hospital,K.K. Nagar,West-Central,13.0380,80.2044,Government,High,,,,Hospital marker; coordinates are approximate planning coordinates.,Approximate locality/hospital-vicinity coordinates for project mapping; verify before production use.,https://chennaicorporation.gov.in/gcc/covid-vaccine/govt-hospital/
H024,Billroth Hospitals,Hospital,Shenoy Nagar,Central-West,13.0789,80.2240,Private,Medium,,,,Hospital marker; coordinates are approximate planning coordinates.,Approximate locality/hospital-vicinity coordinates for project mapping; verify before production use.,https://chennai.nic.in/public-utility-category/hospitals/
H025,Apollo Hospitals Tondiarpet,Hospital,Tondiarpet,North,13.1271,80.2890,Private,High,,,,Hospital marker; coordinates are approximate planning coordinates.,Approximate locality/hospital-vicinity coordinates for project mapping; verify before production use.,https://chennai.nic.in/public-utility-category/hospitals/
H026,CSI Rainy Multispeciality Hospital,Hospital,Old Washermenpet,North,13.1133,80.2860,Private,Medium,,,,Hospital marker; coordinates are approximate planning coordinates.,Approximate locality/hospital-vicinity coordinates for project mapping; verify before production use.,https://chennai.nic.in/public-utility-category/hospitals/
H027,MGM Healthcare,Hospital,Aminjikarai,Central-West,13.0718,80.2218,Private,High,,,,Hospital marker; coordinates are approximate planning coordinates.,Approximate locality/hospital-vicinity coordinates for project mapping; verify before production use.,https://chennai.nic.in/public-utility-category/hospitals/
H028,Kauvery Hospital Alwarpet,Hospital,Alwarpet,Central-South,13.0337,80.2572,Private,High,,,,Hospital marker; coordinates are approximate planning coordinates.,Approximate locality/hospital-vicinity coordinates for project mapping; verify before production use.,https://chennai.nic.in/public-utility-category/hospitals/
H029,Adyar Cancer Institute,Hospital,Adyar,South-Central,13.0061,80.2508,Specialized,Medium,,,,Hospital marker; coordinates are approximate planning coordinates.,Approximate locality/hospital-vicinity coordinates for project mapping; verify before production use.,https://chennai.nic.in/public-utility-category/hospitals/
H030,Government Hospital of Thoracic Medicine,Hospital,Tambaram Sanatorium,South-West,12.9431,80.1285,Government,Medium,,,,Hospital marker; coordinates are approximate planning coordinates.,Approximate locality/hospital-vicinity coordinates for project mapping; verify before production use.,https://chennaicorporation.gov.in/gcc/covid-vaccine/govt-hospital/
A001,Ambulance Base - Ennore,Ambulance Base,Ennore,North,13.2146,80.3203,Recommended,Medium,2,Apollo Hospitals Tondiarpet,"Ennore, Kathivakkam, Ernavoor",Peripheral north coverage; industrial/port corridor,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A002,Ambulance Base - Tiruvottiyur,Ambulance Base,Tiruvottiyur,North,13.1600,80.3010,Recommended,High,3,Apollo Hospitals Tondiarpet,"Tiruvottiyur, Kaladipet, Wimco Nagar",Dense north-Chennai population and TH Road corridor,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A003,Ambulance Base - Manali,Ambulance Base,Manali,North-West,13.1667,80.2580,Recommended,Medium,2,Government Stanley Medical College Hospital,"Manali, Manali New Town, Mathur",Industrial/peripheral coverage,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A004,Ambulance Base - Madhavaram,Ambulance Base,Madhavaram,North-West,13.1482,80.2314,Recommended,High,3,Government Stanley Medical College Hospital,"Madhavaram, Moolakadai, Milk Colony",Major junction and northern gateway,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A005,Ambulance Base - Red Hills/Puzhal,Ambulance Base,Puzhal,North-West,13.1580,80.2035,Recommended,Medium,2,Government Stanley Medical College Hospital,"Puzhal, Red Hills, Kavangarai",Outer north-west highway coverage,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A006,Ambulance Base - Tondiarpet,Ambulance Base,Tondiarpet,North,13.1270,80.2895,Recommended,High,4,Apollo Hospitals Tondiarpet,"Tondiarpet, New Washermenpet, Korukkupet",Dense area; near hospital and arterial roads,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A007,Ambulance Base - Royapuram,Ambulance Base,Royapuram,North-Central,13.1130,80.2940,Recommended,High,3,Government Stanley Medical College Hospital,"Royapuram, Old Washermenpet, Harbour",Port/rail/high-density coverage,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A008,Ambulance Base - Perambur,Ambulance Base,Perambur,North-Central,13.1180,80.2337,Recommended,High,3,Government Kilpauk Medical College Hospital,"Perambur, Sembium, Vyasarpadi",Dense residential and rail/road junction coverage,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A009,Ambulance Base - Basin Bridge,Ambulance Base,Basin Bridge,North-Central,13.1019,80.2717,Recommended,High,3,Government Stanley Medical College Hospital,"Basin Bridge, Pulianthope, Choolai",High-connectivity junction close to tertiary hospitals,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A010,Ambulance Base - Park Town/Central,Ambulance Base,Park Town,Central,13.0813,80.2769,Recommended,Very High,4,Rajiv Gandhi Government General Hospital,"Central, George Town, Broadway, Park Town",Major rail/bus/commercial hub beside major government hospital,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A011,Ambulance Base - Egmore,Ambulance Base,Egmore,Central,13.0732,80.2609,Recommended,High,3,Institute of Child Health and Hospital for Children,"Egmore, Chintadripet, Purasawalkam",Central transport corridor and multiple hospitals,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A012,Ambulance Base - Kilpauk,Ambulance Base,Kilpauk,Central-West,13.0780,80.2430,Recommended,Very High,4,Government Kilpauk Medical College Hospital,"Kilpauk, Kellys, Chetpet",Poonamallee High Road + major hospital proximity,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A013,Ambulance Base - Anna Nagar,Ambulance Base,Anna Nagar,West-Central,13.0850,80.2100,Recommended,High,3,Sundaram Medical Foundation,"Anna Nagar, Shenoy Nagar, Aminjikarai",Dense residential/commercial grid with major junctions,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A014,Ambulance Base - Mogappair,Ambulance Base,Mogappair,West,13.0837,80.1750,Recommended,High,3,Madras Medical Mission,"Mogappair, Nolambur, Collector Nagar",West Chennai coverage near large hospital,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A015,Ambulance Base - Ambattur,Ambulance Base,Ambattur,West-North,13.1143,80.1548,Recommended,High,3,Madras Medical Mission,"Ambattur, Padi, Korattur",Industrial + residential corridor; heavy arterial movement,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A016,Ambulance Base - Avadi,Ambulance Base,Avadi,West-North,13.1067,80.0970,Recommended,Medium,2,Madras Medical Mission,"Avadi, Pattabiram, Thirumullaivoyal",Outer-west gap coverage,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A017,Ambulance Base - Koyambedu,Ambulance Base,Koyambedu,West-Central,13.0694,80.1948,Recommended,Very High,4,MGM Healthcare,"Koyambedu, Arumbakkam, MMDA Colony",Major bus/market/road interchange; high transient population,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A018,Ambulance Base - Vadapalani,Ambulance Base,Vadapalani,West-Central,13.0524,80.2120,Recommended,Very High,4,SIMS Hospital,"Vadapalani, Saligramam, Kodambakkam",Arcot Road corridor with multiple major hospitals,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A019,Ambulance Base - Nungambakkam,Ambulance Base,Nungambakkam,Central,13.0604,80.2420,Recommended,High,3,Apollo Hospitals Greams Road,"Nungambakkam, Thousand Lights, Chetpet",Dense commercial area close to multiple tertiary hospitals,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A020,Ambulance Base - Anna Salai/Teynampet,Ambulance Base,Teynampet,Central-South,13.0418,80.2505,Recommended,Very High,4,Apollo Hospitals Greams Road,"Teynampet, Thousand Lights, Alwarpet",Major arterial corridor + central business district,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A021,Ambulance Base - Royapettah,Ambulance Base,Royapettah,Central-South,13.0543,80.2640,Recommended,Very High,4,Government Royapettah Hospital,"Royapettah, Triplicane, Mylapore","Dense central area, major roads and government hospital",Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A022,Ambulance Base - Mylapore,Ambulance Base,Mylapore,Central-South,13.0339,80.2697,Recommended,High,3,Kauvery Hospital Alwarpet,"Mylapore, Mandaveli, Santhome",Dense residential/commercial south-central coverage,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A023,Ambulance Base - T. Nagar,Ambulance Base,T. Nagar,Central-South,13.0418,80.2341,Recommended,Very High,4,Kauvery Hospital Alwarpet,"T. Nagar, West Mambalam, Nandanam",Extremely busy commercial/traffic zone,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A024,Ambulance Base - Ashok Nagar/KK Nagar,Ambulance Base,K.K. Nagar,West-South,13.0385,80.2040,Recommended,High,3,ESIC Medical College and Hospital,"K.K. Nagar, Ashok Nagar, Jafferkhanpet",Dense residential grid near hospital,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A025,Ambulance Base - Porur,Ambulance Base,Porur,West,13.0359,80.1588,Recommended,Very High,4,Sri Ramachandra Medical Centre,"Porur, Iyyappanthangal, Karambakkam",Major junction; Mount-Poonamallee Road and hospital cluster,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A026,Ambulance Base - Poonamallee,Ambulance Base,Poonamallee,West,13.0473,80.0945,Recommended,High,3,Sri Ramachandra Medical Centre,"Poonamallee, Kattupakkam, Senneerkuppam",Western gateway/highway coverage,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A027,Ambulance Base - Guindy,Ambulance Base,Guindy,South-Central,13.0067,80.2206,Recommended,Very High,4,MIOT International,"Guindy, Ekkatuthangal, St Thomas Mount",Major Kathipara/industrial/airport approach corridors,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A028,Ambulance Base - Manapakkam,Ambulance Base,Manapakkam,West-South,13.0210,80.1790,Recommended,High,3,MIOT International,"Manapakkam, Ramapuram, Nandambakkam",Hospital-adjacent base on major west-south corridor,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A029,Ambulance Base - Adyar,Ambulance Base,Adyar,South-Central,13.0065,80.2568,Recommended,Very High,4,Fortis Malar Hospital,"Adyar, Kotturpuram, Besant Nagar",Dense residential/commercial area near multiple hospitals,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A030,Ambulance Base - Thiruvanmiyur,Ambulance Base,Thiruvanmiyur,South-East,12.9850,80.2594,Recommended,High,3,Fortis Malar Hospital,"Thiruvanmiyur, Indira Nagar, Kottivakkam",ECR/OMR approach and dense residential coverage,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A031,Ambulance Base - Velachery,Ambulance Base,Velachery,South,12.9815,80.2180,Recommended,Very High,4,Prashanth Super Speciality Hospital,"Velachery, Taramani, Dhandeeswaram",Large population + major junction/arterial roads,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A032,Ambulance Base - Pallikaranai,Ambulance Base,Pallikaranai,South,12.9495,80.2100,Recommended,High,3,Dr. Kamakshi Memorial Hospital,"Pallikaranai, Narayanapuram, Medavakkam",Fast-growing south Chennai corridor near hospital,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A033,Ambulance Base - Perungudi,Ambulance Base,Perungudi,South-OMR,12.9600,80.2455,Recommended,Very High,4,Apollo Speciality Hospital OMR,"Perungudi, Kandanchavadi, Taramani",OMR IT corridor; hospital proximity and peak-hour traffic,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A034,Ambulance Base - Sholinganallur,Ambulance Base,Sholinganallur,South-OMR,12.9010,80.2279,Recommended,Very High,4,Gleneagles HealthCity Chennai,"Sholinganallur, Karapakkam, Semmenchery",Major OMR junction and dense IT/residential corridor,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A035,Ambulance Base - Medavakkam,Ambulance Base,Medavakkam,South,12.9180,80.1920,Recommended,High,3,Gleneagles HealthCity Chennai,"Medavakkam, Perumbakkam, Kovilambakkam",Large residential catchment with south-Chennai gap coverage,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A036,Ambulance Base - Tambaram,Ambulance Base,Tambaram,South-West,12.9249,80.1000,Recommended,Very High,4,Hindu Mission Hospital,"Tambaram, East Tambaram, West Tambaram",Major GST Road/rail/bus interchange and dense population,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A037,Ambulance Base - Pallavaram,Ambulance Base,Pallavaram,South-West,12.9675,80.1491,Recommended,High,3,Hindu Mission Hospital,"Pallavaram, Chromepet, Pammal",GST Road + airport-side corridor coverage,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A038,Ambulance Base - Chromepet,Ambulance Base,Chromepet,South-West,12.9516,80.1462,Recommended,High,3,Government Hospital Tambaram,"Chromepet, Chitlapakkam, Hasthinapuram",Dense GST Road residential belt,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A039,Ambulance Base - ECR Neelankarai,Ambulance Base,Neelankarai,South-East,12.9495,80.2598,Recommended,High,3,Apollo Speciality Hospital OMR,"Neelankarai, Palavakkam, Injambakkam",ECR coastal corridor coverage,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
A040,Ambulance Base - Kelambakkam,Ambulance Base,Kelambakkam,Far South-OMR,12.7870,80.2200,Recommended,High,3,Chettinad Hospital and Research Institute,"Kelambakkam, Navalur, Padur",Far-south OMR coverage near large teaching hospital,Synthetic recommended deployment point; not an actual 108/ambulance depot GPS location.,https://tngis.tn.gov.in/apps/accident-dashboard/
